grid,drive,P,readout,T,K_star,bal_at_K_star
16,15mT1100,1,analog,0.8,1024,0.8054872155189514
16,15mT1100,1,analog,0.9,,0.8070257306098938
16,15mT1100,1,analog,0.95,,0.8070257306098938
16,15mT1100,1,binary,0.8,512,0.8386666178703308
16,15mT1100,1,binary,0.9,,0.8451794981956482
16,15mT1100,1,binary,0.95,,0.8451794981956482
16,15mT1100,1,ternary,0.8,128,0.8205640912055969
16,15mT1100,1,ternary,0.9,,0.8595384359359741
16,15mT1100,1,ternary,0.95,,0.8595384359359741
16,15mT1100,2,analog,0.8,,0.5257948637008667
16,15mT1100,2,analog,0.9,,0.5257948637008667
16,15mT1100,2,analog,0.95,,0.5257948637008667
16,15mT1100,2,binary,0.8,,0.5913846492767334
16,15mT1100,2,binary,0.9,,0.5913846492767334
16,15mT1100,2,binary,0.95,,0.5913846492767334
16,15mT1100,2,ternary,0.8,,0.5901538133621216
16,15mT1100,2,ternary,0.9,,0.5901538133621216
16,15mT1100,2,ternary,0.95,,0.5901538133621216
16,15mT1100,4,analog,0.8,,0.4701538383960724
16,15mT1100,4,analog,0.9,,0.4701538383960724
16,15mT1100,4,analog,0.95,,0.4701538383960724
16,15mT1100,4,binary,0.8,,0.5960000157356262
16,15mT1100,4,binary,0.9,,0.5960000157356262
16,15mT1100,4,binary,0.95,,0.5960000157356262
16,15mT1100,4,ternary,0.8,,0.5898973941802979
16,15mT1100,4,ternary,0.9,,0.5898973941802979
16,15mT1100,4,ternary,0.95,,0.5898973941802979
16,15mT1100,8,analog,0.8,,0.5135384202003479
16,15mT1100,8,analog,0.9,,0.5135384202003479
16,15mT1100,8,analog,0.95,,0.5135384202003479
16,15mT1100,8,binary,0.8,,0.5078461766242981
16,15mT1100,8,binary,0.9,,0.5078461766242981
16,15mT1100,8,binary,0.95,,0.5078461766242981
16,15mT1100,8,ternary,0.8,,0.6133333444595337
16,15mT1100,8,ternary,0.9,,0.6133333444595337
16,15mT1100,8,ternary,0.95,,0.6133333444595337
16,15mT200,1,analog,0.8,,0.4952820837497711
16,15mT200,1,analog,0.9,,0.4952820837497711
16,15mT200,1,analog,0.95,,0.4952820837497711
16,15mT200,1,binary,0.8,,0.7456923723220825
16,15mT200,1,binary,0.9,,0.7456923723220825
16,15mT200,1,binary,0.95,,0.7456923723220825
16,15mT200,1,ternary,0.8,,0.7517436146736145
16,15mT200,1,ternary,0.9,,0.7517436146736145
16,15mT200,1,ternary,0.95,,0.7517436146736145
16,15mT200,2,analog,0.8,,0.4879487156867981
16,15mT200,2,analog,0.9,,0.4879487156867981
16,15mT200,2,analog,0.95,,0.4879487156867981
