train_size,2_op,3_op,5-op
5,0.7346,0.4642,0.3286
10,0.8362,0.6066,0.4004
15,0.8874,0.6644,0.4722
20,0.9104,0.7234,0.5268
25,0.9184,0.7558,0.5828
30,0.9276,0.7778,0.6136
35,0.9346,0.8088,0.63
40,0.9366,0.815,0.6702
45,0.9462,0.8296,0.672
50,0.9452,0.8366,0.7106
100,0.9584,0.8838,0.8036
150,0.9664,0.9174,0.8408
200,0.97,0.9274,0.8718
250,0.972,0.9346,0.8776
300,0.976,0.9426,0.8998
350,0.9786,0.9448,0.9108
400,0.9812,0.9498,0.9156
450,0.983,0.9584,0.9232
500,0.9826,0.9564,0.9286
750,0.9876,0.9678,0.9478
1000,0.9896,0.9734,0.9626
1250,0.9936,0.9804,0.971
1500,0.9932,0.9838,0.9778
1750,0.9974,0.9884,0.9868
2000,0.9966,0.9926,0.9902
2250,0.9992,0.9974,0.9962
2500,1,1,1
