grid,drive,P,K,readout,bal_mean,bal_std,flops_predict_sample,flops_fit_median,median_n_iter,n_train_mean,n_test_mean
16,15mT200,1,2,analog,0.4952820837497711,0.053182631731033325,4,3686.4,3,204,51
16,15mT200,1,2,binary,0.49661538004875183,0.06021447479724884,4,4915.200000000001,4,204,51
16,15mT200,1,2,ternary,0.5020000338554382,0.05463293194770813,4,3686.4,3,204,51
16,15mT200,1,4,analog,0.482461541891098,0.04384588822722435,8,9830.400000000001,4,204,51
16,15mT200,1,4,binary,0.5189231038093567,0.055550891906023026,8,9830.400000000001,4,204,51
16,15mT200,1,4,ternary,0.4893333315849304,0.054949767887592316,8,7372.8,3,204,51
16,15mT200,1,8,analog,0.46323075890541077,0.04928059130907059,16,19660.800000000003,4,204,51
16,15mT200,1,8,binary,0.5605128407478333,0.07453983277082443,16,19660.800000000003,4,204,51
16,15mT200,1,8,ternary,0.47030770778656006,0.06740720570087433,16,19660.800000000003,4,204,51
16,15mT200,1,16,analog,0.4627179205417633,0.061334189027547836,32,49152.0,5,204,51
16,15mT200,1,16,binary,0.5487692356109619,0.046551115810871124,32,39321.600000000006,4,204,51
16,15mT200,1,16,ternary,0.5452820062637329,0.06952238827943802,32,39321.600000000006,4,204,51
16,15mT200,1,32,analog,0.48979485034942627,0.06593312323093414,64,98304.0,5,204,51
16,15mT200,1,32,binary,0.6334871053695679,0.04692254588007927,64,98304.0,5,204,51
16,15mT200,1,32,ternary,0.5882564187049866,0.07580232620239258,64,78643.20000000001,4,204,51
16,15mT200,1,64,analog,0.4427691698074341,0.05419287458062172,128,196608.0,5,204,51
16,15mT200,1,64,binary,0.6319486498832703,0.049725763499736786,128,235929.6,6,204,51
16,15mT200,1,64,ternary,0.6050257086753845,0.07573745399713516,128,196608.0,5,204,51
16,15mT200,1,128,analog,0.4810256361961365,0.05107264593243599,256,471859.2,6,204,51
16,15mT200,1,128,binary,0.5950255990028381,0.06661666929721832,256,1730150.4000000001,22,204,51
16,15mT200,1,128,ternary,0.6160513162612915,0.05892452597618103,256,707788.8,9,204,51
16,15mT200,1,256,analog,0.4183589518070221,0.050127144902944565,512,510866227.20000005,3248,204,51
16,15mT200,1,256,binary,0.6317948698997498,0.07573215663433075,512,27525120.0,175,204,51
16,15mT200,1,256,ternary,0.6588205099105835,0.05496339872479439,512,29727129.6,189,204,51
16,15mT200,1,512,analog,0.43625640869140625,0.04715735465288162,1024,457388851.20000005,1454,204,51
16,15mT200,1,512,binary,0.6550769209861755,0.07655955106019974,1024,27053260.8,86,204,51
16,15mT200,1,512,ternary,0.727794885635376,0.042925432324409485,1024,33659289.6,107,204,51
16,15mT200,1,1024,analog,0.42420515418052673,0.052634626626968384,2048,493879296.0,785,204,51
16,15mT200,1,1024,binary,0.7164615988731384,0.052572332322597504,2048,37119590.4,59,204,51
16,15mT200,1,1024,ternary,0.7517436146736145,0.051398955285549164,2048,48444211.2,77,204,51
16,15mT200,1,2048,analog,0.4329230487346649,0.05938422307372093,4096,952526438.4000001,757,204,51
16,15mT200,1,2048,binary,0.7456923723220825,0.045350976288318634,4096,59139686.400000006,47,204,51
16,15mT200,1,2048,ternary,0.7505640387535095,0.0631447285413742,4096,85563801.60000001,68,204,51
16,15mT200,2,2,analog,0.4879487156867981,0.0488128624856472,4,3686.4,3,204,51
16,15mT200,2,2,binary,0.4735897481441498,0.05411338061094284,4,3686.4,3,204,51
16,15mT200,2,2,ternary,0.49912822246551514,0.040874917060136795,4,4915.200000000001,4,204,51
16,15mT200,2,4,analog,0.45502564311027527,0.048638153821229935,8,7372.8,3,204,51
16,15mT200,2,4,binary,0.5371282696723938,0.06378617137670517,8,7372.8,3,204,51
16,15mT200,2,4,ternary,0.5105640888214111,0.04797062650322914,8,9830.400000000001,4,204,51
16,15mT200,2,8,analog,0.3874872028827667,0.05989304184913635,16,19660.800000000003,4,204,51
16,15mT200,2,8,binary,0.5349231362342834,0.05369120091199875,16,19660.800000000003,4,204,51
16,15mT200,2,8,ternary,0.5437434911727905,0.09066611528396606,16,19660.800000000003,4,204,51
16,15mT200,2,16,analog,0.32158976793289185,0.0665755569934845,32,39321.600000000006,4,204,51
16,15mT200,2,16,binary,0.48558977246284485,0.0662083625793457,32,39321.600000000006,4,204,51
16,15mT200,2,16,ternary,0.5133845806121826,0.05661092326045036,32,39321.600000000006,4,204,51
16,15mT200,2,32,analog,0.31066662073135376,0.07480777055025101,64,98304.0,5,204,51
16,15mT200,2,32,binary,0.5690768957138062,0.04771561920642853,64,98304.0,5,204,51
16,15mT200,2,32,ternary,0.554307758808136,0.0653618648648262,64,78643.20000000001,4,204,51
16,15mT200,2,64,analog,0.36323076486587524,0.06725100427865982,128,196608.0,5,204,51
16,15mT200,2,64,binary,0.606615424156189,0.09520528465509415,128,235929.6,6,204,51
16,15mT200,2,64,ternary,0.6157435774803162,0.07405626028776169,128,196608.0,5,204,51
16,15mT200,2,128,analog,0.4082051217556,0.06446971744298935,256,471859.2,6,204,51
16,15mT200,2,128,binary,0.6258461475372314,0.04990152269601822,256,1258291.2000000002,16,204,51
16,15mT200,2,128,ternary,0.5988205075263977,0.05803954601287842,256,550502.4,7,204,51
16,15mT200,2,256,analog,0.4053846299648285,0.0701044574379921,512,786432000.0,5000,204,51
16,15mT200,2,256,binary,0.6767179369926453,0.06681215018033981,512,36333158.4,231,204,51
16,15mT200,2,256,ternary,0.7073333859443665,0.07696043699979782,512,40737177.6,259,204,51
16,15mT200,2,512,analog,0.4314359128475189,0.04388425126671791,1024,1050358579.2,3339,204,51
16,15mT200,2,512,binary,0.727384626865387,0.05841685086488724,1024,36175872.0,115,204,51
16,15mT200,2,512,ternary,0.7610769867897034,0.054181959480047226,1024,39636172.800000004,126,204,51
16,15mT200,2,1024,analog,0.429999977350235,0.05767761170864105,2048,924214886.4000001,1469,204,51
16,15mT200,2,1024,binary,0.761589765548706,0.07177131623029709,2048,44669337.6,71,204,51
16,15mT200,2,1024,ternary,0.7909743785858154,0.08276649564504623,2048,54106521.6,86,204,51
16,15mT200,2,2048,analog,0.4701538383960724,0.0661044493317604,4096,1259549491.2,1001,204,51
16,15mT200,2,2048,binary,0.8175384402275085,0.05799013748764992,4096,70464307.2,56,204,51
16,15mT200,2,2048,ternary,0.818051278591156,0.053644951432943344,4096,96888422.4,77,204,51
16,15mT200,4,2,analog,0.4558461308479309,0.08795049786567688,4,3686.4,3,204,51
16,15mT200,4,2,binary,0.6164616346359253,0.06663379073143005,4,3686.4,3,204,51
16,15mT200,4,2,ternary,0.5391282439231873,0.051930662244558334,4,3686.4,3,204,51
16,15mT200,4,4,analog,0.4344102442264557,0.055639348924160004,8,4915.200000000001,2,204,51
16,15mT200,4,4,binary,0.6112307906150818,0.07170496135950089,8,7372.8,3,204,51
