grid,drive,P,best_K,best_readout,bal_acc_best
16,15mT200,1,1024,ternary,0.7517436146736145
16,15mT200,2,2048,ternary,0.818051278591156
16,15mT200,4,2048,binary,0.9080513119697571
16,15mT200,8,2048,ternary,0.9489743709564209
16,30mT500,1,2048,ternary,0.9220512509346008
16,30mT500,2,2048,ternary,0.9323589205741882
16,30mT500,4,2048,binary,0.8297436237335205
16,30mT500,8,256,binary,0.9713333249092102
16,45mT,1,2048,binary,0.9778461456298828
16,45mT,2,2048,binary,0.9703589081764221
16,45mT,4,2048,binary,0.9518975019454956
16,45mT,8,1024,ternary,0.8973845839500427
16,15mT1100,1,1024,ternary,0.8595384359359741
16,15mT1100,2,8,binary,0.5913846492767334
16,15mT1100,4,64,binary,0.5960000157356262
16,15mT1100,8,64,ternary,0.6133333444595337
16,60mT,1,2048,binary,0.9494360089302063
16,60mT,2,2048,binary,0.9623591303825378
16,60mT,4,2048,binary,0.9491795301437378
16,60mT,8,512,binary,0.9024103283882141
32,45mT_t05,1,2048,ternary,0.7268608212471008
32,45mT_t05,2,2048,binary,0.853839099407196
32,45mT_t05,4,2048,binary,0.9212449193000793
32,45mT_t05,8,2048,binary,0.9365347027778625
32,45mT_t05,16,2048,ternary,0.9863190054893494
